"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations","Param: source"
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space","avgt",1,5,127.071845,1094.126905,"MB/sec",8,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space.norm","avgt",1,5,107374182.400000,924524092.518036,"B/op",8,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,1.000000,NaN,"counts",8,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.time","avgt",1,5,17.000000,NaN,"ms",8,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._01_benchmark_sequential","avgt",1,5,317765.014517,45554.915213,"us/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._01_benchmark_sequential:·gc.alloc.rate","avgt",1,5,21.996469,5.721778,"MB/sec",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._01_benchmark_sequential:·gc.alloc.rate.norm","avgt",1,5,10420387.866667,1290692.190871,"B/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._01_benchmark_sequential:·gc.count","avgt",1,5,0.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8","avgt",1,5,45598.454977,9870.055854,"us/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8:·gc.alloc.rate","avgt",1,5,165.707846,312.758767,"MB/sec",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8:·gc.alloc.rate.norm","avgt",1,5,11699671.503557,21713137.473722,"B/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8:·gc.churn.PS_Eden_Space","avgt",1,5,263.560112,1389.763938,"MB/sec",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8:·gc.churn.PS_Eden_Space.norm","avgt",1,5,19987401.918615,105435287.940765,"B/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8:·gc.churn.PS_Survivor_Space","avgt",1,5,0.121546,1.046545,"MB/sec",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,9350.628571,80511.731975,"B/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8:·gc.count","avgt",1,5,2.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._04_benchmark_parallel8:·gc.time","avgt",1,5,27.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes","avgt",1,5,2265561.806200,655771.584030,"us/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes:·gc.alloc.rate","avgt",1,5,71.031997,147.602143,"MB/sec",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes:·gc.alloc.rate.norm","avgt",1,5,208446598.400000,431012303.323275,"B/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes:·gc.churn.PS_Eden_Space","avgt",1,5,73.554879,633.329687,"MB/sec",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes:·gc.churn.PS_Eden_Space.norm","avgt",1,5,214748364.800000,1849048185.036073,"B/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes:·gc.churn.PS_Survivor_Space","avgt",1,5,0.065976,0.568076,"MB/sec",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,192622.400000,1658536.955329,"B/op",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes:·gc.count","avgt",1,5,1.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.BetweennessComparisionBenchmark._05_benchmark_sucessorBrandes:·gc.time","avgt",1,5,12.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.ClosenessCentralityBenchmark._01_benchmark","avgt",1,5,7004.736554,493.759560,"us/op",,,,
"org.neo4j.graphalgo.bench.ClosenessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,114.130974,180.436110,"MB/sec",,,,
"org.neo4j.graphalgo.bench.ClosenessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,1262235.356245,1987037.616524,"B/op",,,,
"org.neo4j.graphalgo.bench.ClosenessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space","avgt",1,5,268.044729,1413.637331,"MB/sec",,,,
"org.neo4j.graphalgo.bench.ClosenessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space.norm","avgt",1,5,2993917.259186,15790053.732175,"B/op",,,,
"org.neo4j.graphalgo.bench.ClosenessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,2.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.ClosenessCentralityBenchmark._01_benchmark:·gc.time","avgt",1,5,91.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential","avgt",1,5,570.274831,210.506820,"us/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.alloc.rate","avgt",1,5,3618.705220,1431.185857,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.alloc.rate.norm","avgt",1,5,3276193.177859,3244.771179,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Eden_Space","avgt",1,5,3635.364340,1752.841684,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3296676.362507,1114591.470624,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Survivor_Space","avgt",1,5,1.952435,4.068987,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1718.730192,3233.722579,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.count","avgt",1,5,21.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.time","avgt",1,5,88.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel","avgt",1,5,539.257177,71.575011,"us/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.alloc.rate","avgt",1,5,3790.418070,673.859646,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.alloc.rate.norm","avgt",1,5,3276158.997688,2950.548131,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Eden_Space","avgt",1,5,3786.613193,1524.527700,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3285793.044957,1731174.814809,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Survivor_Space","avgt",1,5,1.456480,2.467040,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1260.956472,2130.402339,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.count","avgt",1,5,22.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.time","avgt",1,5,69.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan","avgt",1,5,554.118381,130.862646,"us/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.alloc.rate","avgt",1,5,3707.941804,599.170892,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.alloc.rate.norm","avgt",1,5,3276147.321409,2849.822134,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Eden_Space","avgt",1,5,3805.244097,1662.577384,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3369222.698207,1668985.080044,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Survivor_Space","avgt",1,5,1.568328,2.840598,"MB/sec",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1381.667948,2570.092838,"B/op",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.count","avgt",1,5,22.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.time","avgt",1,5,84.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,19.495368,5.539176,"us/op",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,184.299230,48.094070,"MB/sec",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,5675.118694,95.012877,"B/op",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,136.374264,1174.223542,"MB/sec",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,4488.793395,38649.864866,"B/op",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.420127,3.617417,"MB/sec",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,13.828574,119.068191,"B/op",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,1.000000,NaN,"counts",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,78.000000,NaN,"ms",,HEAVY,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,24.166397,5.729532,"us/op",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,149.035817,32.979463,"MB/sec",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,5678.251563,121.888907,"B/op",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,136.457411,1174.939460,"MB/sec",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,5731.819911,49352.698047,"B/op",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.427581,3.681601,"MB/sec",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,17.960305,154.643646,"B/op",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,1.000000,NaN,"counts",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,119.000000,NaN,"ms",,HEAVY,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,52.636481,17.604946,"us/op",,HEAVY,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,69.167932,21.428726,"MB/sec",,HEAVY,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,5712.850520,260.499294,"B/op",,HEAVY,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,135.029173,1162.641899,"MB/sec",,HEAVY,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,12777.316880,110016.551737,"B/op",,HEAVY,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,1.000000,NaN,"counts",,HEAVY,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,82.000000,NaN,"ms",,HEAVY,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,57.429908,11.796103,"us/op",,VIEW,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,583.145885,139.366691,"MB/sec",,VIEW,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,53014.271556,300.776751,"B/op",,VIEW,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,520.216549,1829.491022,"MB/sec",,VIEW,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,49099.572854,172827.145347,"B/op",,VIEW,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,3.000000,NaN,"counts",,VIEW,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,92.000000,NaN,"ms",,VIEW,5,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,220.285346,47.218118,"us/op",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,588.635980,108.989825,"MB/sec",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,204932.802548,1135.417299,"B/op",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,522.224936,1836.152284,"MB/sec",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,181998.772975,641501.109978,"B/op",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.014177,0.101104,"MB/sec",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,4.828900,33.963618,"B/op",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,3.000000,NaN,"counts",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,79.000000,NaN,"ms",,VIEW,20,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run","avgt",1,5,992.917839,125.839632,"us/op",,VIEW,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate","avgt",1,5,628.811795,66.378240,"MB/sec",,VIEW,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.alloc.rate.norm","avgt",1,5,988685.029477,5037.267756,"B/op",,VIEW,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space","avgt",1,5,697.912490,1503.169263,"MB/sec",,VIEW,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Eden_Space.norm","avgt",1,5,1102969.787694,2379852.610409,"B/op",,VIEW,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space","avgt",1,5,0.014560,0.125368,"MB/sec",,VIEW,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,23.553183,202.800007,"B/op",,VIEW,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.count","avgt",1,5,4.000000,NaN,"counts",,VIEW,100,
"org.neo4j.graphalgo.bench.PageRankBenchmark.run:·gc.time","avgt",1,5,51.000000,NaN,"ms",,VIEW,100,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind","avgt",1,10,3.088606,0.107151,"us/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.alloc.rate","avgt",1,10,274.679945,9.176728,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.alloc.rate.norm","avgt",1,10,1336.923978,4.388180,"B/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.churn.PS_Eden_Space","avgt",1,10,262.207462,638.334282,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.churn.PS_Eden_Space.norm","avgt",1,10,1296.419641,3157.743531,"B/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.churn.PS_Survivor_Space","avgt",1,10,0.005096,0.024366,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.025077,0.119893,"B/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.count","avgt",1,10,3.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._01_unbufferedUnionFind:·gc.time","avgt",1,10,12.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind","avgt",1,10,1.637816,0.017066,"us/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.alloc.rate","avgt",1,10,165.112880,5.077619,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.alloc.rate.norm","avgt",1,10,427.055346,12.224993,"B/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.churn.PS_Eden_Space","avgt",1,10,136.465921,434.954428,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.churn.PS_Eden_Space.norm","avgt",1,10,353.926707,1128.062433,"B/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.churn.PS_Survivor_Space","avgt",1,10,0.010414,0.033191,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.027008,0.086081,"B/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.count","avgt",1,10,2.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._02_bufferedUnionFind:·gc.time","avgt",1,10,12.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._03_heavyGraphUnionFind","avgt",1,10,1.736026,0.079389,"us/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._03_heavyGraphUnionFind:·gc.alloc.rate","avgt",1,10,207.591009,9.195403,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._03_heavyGraphUnionFind:·gc.alloc.rate.norm","avgt",1,10,568.519423,2.466829,"B/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._03_heavyGraphUnionFind:·gc.churn.PS_Eden_Space","avgt",1,10,156.160434,502.645315,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._03_heavyGraphUnionFind:·gc.churn.PS_Eden_Space.norm","avgt",1,10,431.234903,1393.810631,"B/op",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._03_heavyGraphUnionFind:·gc.churn.PS_Survivor_Space","avgt",1,10,0.003123,0.010623,"MB/sec",,,,
"org.neo4j.graphalgo.bench.UnionFindBenchmark._03_heavyGraphUnionFind:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,0.008524,0.028768,"B/op",,,,
